YEAR,QUARTER,APOLLOHOSP_PRICE,AUROPHARMA_PRICE,CIPLA_PRICE,DRREDDY_PRICE,LUPIN_PRICE,SUNPHARMA_PRICE,APOLLOHOSP_VOL,AUROPHARMA_VOL,CIPLA_VOL,DRREDDY_VOL,LUPIN_VOL,SUNPHARMA_VOL
2003,4,71.91894034183386,29.84303685390588,77.8860072222623,109.7578793150006,26.841181379376035,22.68940494999741,22274008.0,234473370.0,106004737.0,165788640.0,28418480.0,81949011.0
2004,1,72.89451563908504,33.26499757033128,84.2119371854342,105.21189598670372,30.425215794489933,25.1907049032358,17582334.0,77497760.0,72325484.0,152747880.0,15465880.0,80594469.0
2004,2,90.26628863811493,32.33384209871292,86.49069249079777,73.94463896751404,62.74052333831787,29.106757472111628,18496844.0,50109370.0,64299804.0,145240360.0,44949180.0,87891599.0
2004,3,94.3529870004365,29.778619303847805,85.01690662268436,64.35234012025775,56.589770288178414,29.92173350941051,12673574.0,38248270.0,68981082.0,144987660.0,34969480.0,101350145.0
2004,4,106.14187997671274,29.684495074932393,98.76783259465144,68.9893567598783,57.42530652559721,38.07341147914077,17988010.0,48694470.0,105510901.0,126726100.0,34767550.0,85956291.0
2005,1,130.50629687700115,26.029511967643362,94.70529299876729,64.68033393484647,50.30640386362545,38.58110246501985,30329850.0,65748610.0,142842301.0,123367030.0,19834780.0,81353986.0
2005,2,146.96260976791382,25.645900398492813,95.35846638679504,61.2992707490921,53.761899054050446,41.164363980293274,12036538.0,68825440.0,100002155.0,112634180.0,43113380.0,54147894.0
2005,3,172.6566162109375,30.32858768105507,119.77211272716522,74.24761402606964,64.69758331775665,50.07081353664398,18023916.0,114266350.0,70058026.0,87324940.0,55704850.0,66034710.0
2005,4,197.87944881251602,31.14681053161621,139.0218689715276,79.79977592093046,65.28375100307777,52.284706115722656,8335332.0,79900170.0,90421392.0,145284810.0,29292890.0,65167218.0
2006,1,232.01517999367636,48.73062996786149,183.57047709480662,107.46181112820985,78.19182649205942,60.55888204105565,10404924.0,258212950.0,160244608.0,206727210.0,27353670.0,111230542.0
2006,2,199.15576246918224,53.189693763607835,211.8643771312276,124.47668419509638,92.14849403256275,65.91951245167216,6541006.0,85404300.0,202092860.0,218920970.0,36204570.0,125525128.0
2006,3,189.54248023033142,53.0225812792778,210.74067401885986,123.80708575248718,82.98436069488525,67.99569886922836,4872920.0,46514410.0,102289278.0,158417675.0,19859325.0,89560318.0
2006,4,207.2943893182473,54.282120751552895,226.2943497954822,133.03457879238442,93.05436431384477,76.91035061195248,5892776.0,79572320.0,52973149.0,193552695.0,17232815.0,117455666.0
2007,1,208.7893096923828,59.305891545613605,214.77997360229492,128.11224428812662,104.7137887318929,81.60190976460775,6146692.0,52099490.0,46024871.0,178509170.0,33968400.0,136040725.0
2007,2,226.01234903643208,61.42113956328361,191.8499268562563,118.85850278792843,121.6535893101846,90.93621900004726,2287730.0,86316400.0,109338980.0,195510480.0,83589940.0,146413586.0
2007,3,221.92249655723572,55.8605455160141,165.36913132667542,114.59976649284363,112.32702922821045,84.17476034164429,4184026.0,83166030.0,142808501.0,95002735.0,57837755.0,127389750.0
2007,4,219.0141594179215,47.080311313752205,169.4384517054404,113.69765841576361,102.95504699214813,93.69709359445879,5670668.0,76233120.0,96384879.0,132332795.0,40120760.0,112310050.0
2008,1,225.363895785424,30.155041633113736,177.82614061909337,103.52670558806389,96.0317862726027,100.64595425513482,5895380.0,156934460.0,74209724.0,99531685.0,37393725.0,158193630.0
2008,2,225.93513288654265,27.167868692366802,190.48721463563012,115.2420154008709,108.89104449162718,120.33228702232486,2200566.0,120276220.0,64741242.0,116273375.0,63237475.0,193918220.0
2008,3,217.9804880619049,25.904952973127365,202.13264656066895,105.7419319152832,129.92366635799408,125.35115706920624,10910530.0,54919460.0,76467091.0,133640200.0,34529495.0,163327970.0
2008,4,187.65328979492188,13.343437906038963,169.30744494422007,79.71292411674888,111.89615178512315,103.25268024509236,14370634.0,119548320.0,83839210.0,134533785.0,41842160.0,246127920.0
2009,1,185.36372796420395,13.708155862216291,174.3273873164736,77.23192096578664,109.49968456399851,93.31623629865975,2871328.0,95540940.0,69264718.0,121436705.0,26791870.0,189188570.0
2009,2,210.2009028116862,30.067877578735352,212.38557942708334,111.12381235758464,141.19031448364257,110.89009068806966,8330448.0,122726030.0,102414714.0,136617450.0,42674415.0,252643590.0
2009,3,252.44668865203857,55.26956915855408,243.07694959640503,145.4193468093872,176.79312372207642,106.74659371376038,6544414.0,124032810.0,100672592.0,135472420.0,52695535.0,200229190.0
2009,4,256.1390500928535,75.22285561483415,284.4809245125192,191.56354585241098,244.7285919189453,127.9095606569384,6635576.0,124436110.0,119981953.0,156694055.0,75844435.0,132971920.0
2010,1,322.95261499437237,82.83637858245332,295.4335471977622,210.6562701726364,277.7451314117949,140.29509722176246,7116800.0,115999010.0,68545034.0,120113820.0,55612915.0,105371160.0
2010,2,348.8509608677455,80.23483155265687,299.03638034396704,236.30943104577443,324.853263733879,149.4402044387091,5898502.0,84995480.0,81152659.0,147751025.0,49134070.0,138910770.0
2010,3,375.8908663236178,90.38211094782902,290.50431049053486,253.50890455979567,346.6024676983173,159.38490224984977,5965335.0,147855280.0,78249251.0,147593625.0,53477760.0,125806470.0
2010,4,465.6847669813368,112.24766334654792,318.6991233220176,306.591059609065,419.1050729902964,198.59822155180433,7550007.0,102242320.0,111113179.0,125125855.0,82179291.0,97932600.0
2011,1,442.1139674032888,101.58294074766097,293.67571873818673,286.9914757513231,388.18086587229084,199.70889282226562,4486299.0,244169920.0,83604611.0,98361330.0,54886724.0,128713454.0
2011,2,450.8199979720577,83.95629107567572,291.89440425749746,288.4240958921371,397.89896417433215,205.53542254048008,3362371.0,140324936.0,67929738.0,87437765.0,57002502.0,110564120.0
2011,3,488.9510207403274,69.08133261544364,274.3471253410218,276.3478747171069,426.750492156498,221.11021423339844,5042469.0,155646442.0,73317405.0,117876225.0,58018157.0,123601434.0
2011,4,521.8025507522842,48.27034533225884,282.97889218087926,284.9662460068525,422.37291911496953,225.1545185153767,17436622.0,141471116.0,83998715.0,96850275.0,47277996.0,99817904.0
2012,1,570.6800517420614,50.77767575171686,298.8221150059854,300.8588163314327,440.41729145665323,246.00382208055066,12757095.0,172554518.0,94889965.0,107800420.0,42746183.0,120114762.0
2012,2,594.6427947013609,52.51912055477019,287.43021023658014,305.44554581180694,497.9615247172694,265.49691797071887,6760659.0,157668762.0,74760757.0,92771445.0,40141651.0,77791180.0
2012,3,608.8499096285913,53.440360038511216,324.62362572454634,305.1845245361328,537.4352554813509,297.30912633096017,9389729.0,166166092.0,107533625.0,110652550.0,54389254.0,104905574.0
2012,4,759.3761927717823,80.70346276234773,360.35768618826137,324.96056456485036,543.4863395044359,322.31566348318324,24754330.0,271761840.0,105652287.0,92509110.0,47298882.0,96769130.0
2013,1,771.8191479098413,82.63241866327101,365.28521531628024,340.2284353933027,558.5533870573967,351.1627438452936,9394264.0,246869828.0,112550386.0,112116820.0,44397474.0,112131542.0
2013,2,872.7798589891003,83.72056751866495,364.65113682900704,373.77178315193424,676.8649459346648,434.5160635671308,26016579.0,279023446.0,89988709.0,115739370.0,64165988.0,142333646.0
2013,3,881.7061767578125,84.69465092250279,382.9701218377976,418.38970753503224,786.141345796131,492.4729468936012,13084698.0,276937652.0,80878930.0,106594310.0,73990520.0,126752897.0
2013,4,835.1755811347336,129.55702634717596,377.8611825411437,451.1469976706583,826.7878638095543,544.9447621830175,10490914.0,451744404.0,74889507.0,79075830.0,37012299.0,104321044.0
2014,1,874.539534045804,221.68337692752962,367.1893640333606,492.81278253370715,872.9424408943422,546.217776390814,7898702.0,595960896.0,95371210.0,106367600.0,33485608.0,137378008.0
2014,2,894.0540801501664,293.39487444768184,371.64209334576714,463.2682355036501,908.7791347816342,562.1048093701972,10659400.0,278282162.0,99329340.0,159339710.0,33292276.0,169671329.0
2014,3,1050.8563678075398,370.1383017888145,467.8311055501302,532.8016120062935,1144.9486558702256,722.9253142826141,12722997.0,227320894.0,116665976.0,103466215.0,31189407.0,146454946.0
2014,4,1086.7757221090383,497.47271886365166,583.6484943258351,607.702648294383,1329.3062638907597,765.8351229963631,8734599.0,147600742.0,98229787.0,93956670.0,29088663.0,125327785.0
2015,1,1246.6674724641393,538.3031010862256,632.225872102331,614.2660482437884,1566.5076243916496,854.7263793945312,12848349.0,154422368.0,98702660.0,104029950.0,52829498.0,125955740.0
2015,2,1209.8923559970542,632.242395619877,607.4297045097976,650.4821347095927,1691.8647901191086,864.952874855917,14886007.0,173336442.0,115494607.0,93982475.0,114070780.0,547826375.0
2015,3,1303.0465621948242,702.8542709350586,626.9093914031982,748.9810085296631,1727.5550708770752,800.3043642044067,13653228.0,127172524.0,124109811.0,122813675.0,82102666.0,254235007.0
2015,4,1339.208681233724,777.9416371663411,614.2746195475261,673.6909393310547,1785.305301920573,745.8938751220703,11870227.0,90838258.0,83221366.0,232771085.0,55787327.0,244064202.0
2016,1,1365.488429335297,706.0779929239242,522.9071870397349,565.8069247886783,1626.1680267834272,764.9414172563396,13567770.0,164005765.0,122301319.0,136809145.0,110926820.0,174672821.0
2016,2,1297.6544563539567,725.4464593702747,471.74339245211695,574.3641180223034,1436.1851905084425,721.8173650926159,13182512.0,99376014.0,116388869.0,113627340.0,86068735.0,201562795.0
